Group,Item,item2,Condition,Factor1,Factor2,Factor3,Context,TargetSentence
a,54,r54,d,NonIsland,mismatch,Strong,A big dinner was held for everyone at the palace.,There was a nobleman who an attendant believed that the jokes entertained her spectactularly at the dinner. 
c,55,r55,a,Island,match,Strong,There had been a concert in the stadium the other day.,There was a baritone who a performer was impressed because the magazines commended him greatly for the amazing solo.
d,55,r55,b,Island,mismatch,Strong,There had been a concert in the stadium the other day.,There was a baritone who a performer was impressed because the magazines commended her greatly for the amazing solo.
a,55,r55,c,NonIsland,match,Strong,There had been a concert in the stadium the other day.,There was a baritone who a performer said that the magazines commended him greatly for the amazing solo.
b,55,r55,d,NonIsland,mismatch,Strong,There had been a concert in the stadium the other day.,There was a baritone who a performer said that the magazines commended her greatly for the amazing solo.
d,56,r56,a,Island,match,Weak,A messy situation was uncovered by the police.,There was a conman who a detective wondered whether the real criminal blackmailed him illegally for the crime.
a,56,r56,b,Island,mismatch,Weak,A messy situation was uncovered by the police.,There was a conman who a detective wondered whether the real criminal blackmailed her illegally for the crime.
b,56,r56,c,NonIsland,match,Weak,A messy situation was uncovered by the police.,There was a conman who a detective said that the real criminal blackmailed him illegally for the crime.
c,56,r56,d,NonIsland,mismatch,Weak,A messy situation was uncovered by the police.,There was a conman who a detective said that the real criminal blackmailed her illegally for the crime.
a,57,r57,a,Island,match,Strong,There had been a fire in the neighborhood last week.,There was a fireman who a homeowner was pleased because the newspapers praised him highly for the daring rescue.
b,57,r57,b,Island,mismatch,Strong,There had been a fire in the neighborhood last week.,There was a fireman who a homeowner was pleased because the newspapers praised her highly for the daring rescue.
c,57,r57,c,NonIsland,match,Strong,There had been a fire in the neighborhood last week.,There was a fireman who a homeowner said that the newspapers praised him highly for the daring rescue.
d,57,r57,d,NonIsland,mismatch,Strong,There had been a fire in the neighborhood last week.,There was a fireman who a homeowner said that the newspapers praised her highly for the daring rescue.
b,58,r58,a,Island,match,Weak,Summer blockbusters are expensive to make.,There was a playboy who a teen speculated whether the production staff paid him extravagantly for the leading role.
c,58,r58,b,Island,mismatch,Weak,Summer blockbusters are expensive to make.,There was a playboy who a teen speculated whether the production staff paid her extravagantly for the leading role.
d,58,r58,c,NonIsland,match,Weak,Summer blockbusters are expensive to make.,There was a playboy who a teen said that the production staff paid him extravagantly for the leading role.
a,58,r58,d,NonIsland,mismatch,Weak,Summer blockbusters are expensive to make.,There was a playboy who a teen said that the production staff paid her extravagantly for the leading role.
c,59,r59,a,Island,match,Strong,Hockey is sometimes a very rough sport.,There was a defenseman who a fan was enraged because the referees penalized him severely for fighting.
d,59,r59,b,Island,mismatch,Strong,Hockey is sometimes a very rough sport.,There was a defenseman who a fan was enraged because the referees penalized her severely for fighting.
a,59,r59,c,NonIsland,match,Strong,Hockey is sometimes a very rough sport.,There was a defenseman who a fan thought that the referees penalized him severely for fighting.
b,59,r59,d,NonIsland,mismatch,Strong,Hockey is sometimes a very rough sport.,There was a defenseman who a fan thought that the referees penalized her severely for fighting.
d,60,r60,a,Island,match,Weak,Many people are too busy to do housework.,There was a maid who a visitor wondered whether the homeowners thanked her properly for cleaning up.
a,60,r60,b,Island,mismatch,Weak,Many people are too busy to do housework.,There was a maid who a visitor wondered whether the homeowners thanked him properly for cleaning up.
b,60,r60,c,NonIsland,match,Weak,Many people are too busy to do housework.,There was a maid who a visitor believed that the homeowners thanked her properly for cleaning up.
c,60,r60,d,NonIsland,mismatch,Weak,Many people are too busy to do housework.,There was a maid who a visitor believed that the homeowners thanked him properly for cleaning up.
a,61,f61,f,filler,filler,good,Looking for shoes can be really hard.,"Each time you think you find the right one, it almost always ends up being out of stock."
a,62,f62,f,filler,filler,weird,The final exam was really difficult.,Each question had some sort of trick that people thought it made easy to make a simple mistake.
a,63,f63,f,filler,filler,good,There was a lot of noise in the diner. ,Each of the customers was complaining loudly about the service and the quality of the food. 
a,64,f64,f,filler,filler,weird,The streets downtown are very busy.,Every pedestrian should be ready to be willing to prepare to be honked at.
a,65,f65,f,filler,filler,good,Finding a reliable car to buy can be hard.,Every person who buys a used car should take it to a trusted mechanic first.
a,66,f66,f,filler,filler,weird,The staff at the restaurant likes to make suggestions.,Every diner wanted to try the dish that no waiter thought anyone should.
a,67,f67,f,filler,filler,good,There were a lot of whispers in the classroom.,All the children were quietly making fun of the teacher's new haircut.
a,68,f68,f,filler,filler,weird,A bunch of restaurants were investigated by the health department.,All the experts said that those restaurants should be closed loudly.
a,69,f69,f,filler,filler,good,Camping with a group of friends can be stressful.,All the things you normally do at home in privacy you have to do with people around.
a,70,f70,f,filler,filler,weird,A group of parents were standing outside the school.,The parents standing outside the school were standing and waiting for the bell to ring.
a,71,f71,f,filler,filler,good,A bunch of toddlers were running around.,There was one toddler who was wearing a spiderman costume.
a,72,f72,f,filler,filler,good,A lot of dogs were playing in the park.,There was a very old dog who just sat in the middle of the park and slept.
a,73,f73,f,filler,filler,good,A bunch of cars were parked in the lot.,"There was one car that had a license plate from Oregon, which seemed far away."
a,74,f74,f,filler,filler,good,A group of construction workers were having coffee.,There was one construction worker who wanted to take a longer break but the boss would not allow it.
a,75,f75,f,filler,filler,good,A bunch of people at the bank were chatting.,There was a teller who suspected that the manager was stealing.
a,76,f76,f,filler,filler,gardenpath,A bunch of people were talking about the shops downtown.,The book store sold the first edition was closing down.
a,77,f77,f,filler,filler,gardenpath,The car race was very exciting.,The expensive car sped around the track broke down after the race.
a,78,f78,f,filler,filler,gardenpath,It was getting dark in the woods.,The exhausted hiker cautioned about the trail sat down by the river.
a,79,f79,f,filler,filler,gardenpath,A lot of people were surprised by what happened during the trial.,The furious judge denied the motion walked away from the courthouse.
a,80,f80,f,filler,filler,gardenpath,"After the lecture ended, some students hung around for a few minutes.",The young professor paid a compliment replied with a very kind thank you.
b,61,f61,f,filler,filler,good,Looking for shoes can be really hard.,"Each time you think you find the right one, it almost always ends up being out of stock."
b,62,f62,f,filler,filler,weird,The final exam was really difficult.,Each question had some sort of trick that people thought it made easy to make a simple mistake.
b,63,f63,f,filler,filler,good,There was a lot of noise in the diner. ,Each of the customers was complaining loudly about the service and the quality of the food. 
b,64,f64,f,filler,filler,weird,The streets downtown are very busy.,Every pedestrian should be ready to be willing to prepare to be honked at.
b,65,f65,f,filler,filler,good,Finding a reliable car to buy can be hard.,Every person who buys a used car should take it to a trusted mechanic first.
b,66,f66,f,filler,filler,weird,The staff at the restaurant likes to make suggestions.,Every diner wanted to try the dish that no waiter thought anyone should.
b,67,f67,f,filler,filler,good,There were a lot of whispers in the classroom.,All the children were quietly making fun of the teacher's new haircut.
b,68,f68,f,filler,filler,weird,A bunch of restaurants were investigated by the health department.,All the experts said that those restaurants should be closed loudly.
b,69,f69,f,filler,filler,good,Camping with a group of friends can be stressful.,All the things you normally do at home in privacy you have to do with people around.
b,70,f70,f,filler,filler,weird,A group of parents were standing outside the school.,The parents standing outside the school were standing and waiting for the bell to ring.
b,71,f71,f,filler,filler,good,A bunch of toddlers were running around.,There was one toddler who was wearing a spiderman costume.
b,72,f72,f,filler,filler,good,A lot of dogs were playing in the park.,There was a very old dog who just sat in the middle of the park and slept.
b,73,f73,f,filler,filler,good,A bunch of cars were parked in the lot.,"There was one car that had a license plate from Oregon, which seemed far away."
b,74,f74,f,filler,filler,good,A group of construction workers were having coffee.,There was one construction worker who wanted to take a longer break but the boss would not allow it.
b,75,f75,f,filler,filler,good,A bunch of people at the bank were chatting.,There was a teller who suspected that the manager was stealing.
b,76,f76,f,filler,filler,gardenpath,A bunch of people were talking about the shops downtown.,The book store sold the first edition was closing down.
b,77,f77,f,filler,filler,gardenpath,The car race was very exciting.,The expensive car sped around the track broke down after the race.
b,78,f78,f,filler,filler,gardenpath,It was getting dark in the woods.,The exhausted hiker cautioned about the trail sat down by the river.
b,79,f79,f,filler,filler,gardenpath,A lot of people were surprised by what happened during the trial.,The furious judge denied the motion walked away from the courthouse.
b,80,f80,f,filler,filler,gardenpath,"After the lecture ended, some students hung around for a few minutes.",The young professor paid a compliment replied with a very kind thank you.
c,61,f61,f,filler,filler,good,Looking for shoes can be really hard.,"Each time you think you find the right one, it almost always ends up being out of stock."
c,62,f62,f,filler,filler,weird,The final exam was really difficult.,Each question had some sort of trick that people thought it made easy to make a simple mistake.
c,63,f63,f,filler,filler,good,There was a lot of noise in the diner. ,Each of the customers was complaining loudly about the service and the quality of the food. 
c,64,f64,f,filler,filler,weird,The streets downtown are very busy.,Every pedestrian should be ready to be willing to prepare to be honked at.
c,65,f65,f,filler,filler,good,Finding a reliable car to buy can be hard.,Every person who buys a used car should take it to a trusted mechanic first.
c,66,f66,f,filler,filler,weird,The staff at the restaurant likes to make suggestions.,Every diner wanted to try the dish that no waiter thought anyone should.
c,67,f67,f,filler,filler,good,There were a lot of whispers in the classroom.,All the children were quietly making fun of the teacher's new haircut.
c,68,f68,f,filler,filler,weird,A bunch of restaurants were investigated by the health department.,All the experts said that those restaurants should be closed loudly.
c,69,f69,f,filler,filler,good,Camping with a group of friends can be stressful.,All the things you normally do at home in privacy you have to do with people around.
c,70,f70,f,filler,filler,weird,A group of parents were standing outside the school.,The parents standing outside the school were standing and waiting for the bell to ring.
c,71,f71,f,filler,filler,good,A bunch of toddlers were running around.,There was one toddler who was wearing a spiderman costume.
c,72,f72,f,filler,filler,good,A lot of dogs were playing in the park.,There was a very old dog who just sat in the middle of the park and slept.
c,73,f73,f,filler,filler,good,A bunch of cars were parked in the lot.,"There was one car that had a license plate from Oregon, which seemed far away."
c,74,f74,f,filler,filler,good,A group of construction workers were having coffee.,There was one construction worker who wanted to take a longer break but the boss would not allow it.
c,75,f75,f,filler,filler,good,A bunch of people at the bank were chatting.,There was a teller who suspected that the manager was stealing.
c,76,f76,f,filler,filler,gardenpath,A bunch of people were talking about the shops downtown.,The book store sold the first edition was closing down.
c,77,f77,f,filler,filler,gardenpath,The car race was very exciting.,The expensive car sped around the track broke down after the race.
c,78,f78,f,filler,filler,gardenpath,It was getting dark in the woods.,The exhausted hiker cautioned about the trail sat down by the river.
c,79,f79,f,filler,filler,gardenpath,A lot of people were surprised by what happened during the trial.,The furious judge denied the motion walked away from the courthouse.
c,80,f80,f,filler,filler,gardenpath,"After the lecture ended, some students hung around for a few minutes.",The young professor paid a compliment replied with a very kind thank you.
d,61,f61,f,filler,filler,good,Looking for shoes can be really hard.,"Each time you think you find the right one, it almost always ends up being out of stock."
d,62,f62,f,filler,filler,weird,The final exam was really difficult.,Each question had some sort of trick that people thought it made easy to make a simple mistake.
d,63,f63,f,filler,filler,good,There was a lot of noise in the diner. ,Each of the customers was complaining loudly about the service and the quality of the food. 
d,64,f64,f,filler,filler,weird,The streets downtown are very busy.,Every pedestrian should be ready to be willing to prepare to be honked at.
d,65,f65,f,filler,filler,good,Finding a reliable car to buy can be hard.,Every person who buys a used car should take it to a trusted mechanic first.
d,66,f66,f,filler,filler,weird,The staff at the restaurant likes to make suggestions.,Every diner wanted to try the dish that no waiter thought anyone should.
d,67,f67,f,filler,filler,good,There were a lot of whispers in the classroom.,All the children were quietly making fun of the teacher's new haircut.
d,68,f68,f,filler,filler,weird,A bunch of restaurants were investigated by the health department.,All the experts said that those restaurants should be closed loudly.
d,69,f69,f,filler,filler,good,Camping with a group of friends can be stressful.,All the things you normally do at home in privacy you have to do with people around.
d,70,f70,f,filler,filler,weird,A group of parents were standing outside the school.,The parents standing outside the school were standing and waiting for the bell to ring.
d,71,f71,f,filler,filler,good,A bunch of toddlers were running around.,There was one toddler who was wearing a spiderman costume.
d,72,f72,f,filler,filler,good,A lot of dogs were playing in the park.,There was a very old dog who just sat in the middle of the park and slept.
d,73,f73,f,filler,filler,good,A bunch of cars were parked in the lot.,"There was one car that had a license plate from Oregon, which seemed far away."
d,74,f74,f,filler,filler,good,A group of construction workers were having coffee.,There was one construction worker who wanted to take a longer break but the boss would not allow it.
d,75,f75,f,filler,filler,good,A bunch of people at the bank were chatting.,There was a teller who suspected that the manager was stealing.
d,76,f76,f,filler,filler,gardenpath,A bunch of people were talking about the shops downtown.,The book store sold the first edition was closing down.
d,77,f77,f,filler,filler,gardenpath,The car race was very exciting.,The expensive car sped around the track broke down after the race.
d,78,f78,f,filler,filler,gardenpath,It was getting dark in the woods.,The exhausted hiker cautioned about the trail sat down by the river.
d,79,f79,f,filler,filler,gardenpath,A lot of people were surprised by what happened during the trial.,The furious judge denied the motion walked away from the courthouse.
d,80,f80,f,filler,filler,gardenpath,"After the lecture ended, some students hung around for a few minutes.",The young professor paid a compliment replied with a very kind thank you.
